METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",128.9224464893341,"[0.74823969, 0.85289664, 0.84094397, 0.87443414, 0.86926286]","[0.6582561, 0.83322212, 0.82580587, 0.82275511, 0.79515557]","[0.12207446, 0.13648129, 0.17316996, 0.16714417, 0.1528159]","[0.78935112, 0.90908462, 0.82387117, 0.75743291, 0.84262354]",weights,0.8371554616725223,0.7870389543912163,0.150337156264326,0.8244726741376656,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",128.6563446521759,"[0.75164332, 0.85011345, 0.84973754, 0.87666647, 0.86739994]","[0.62644592, 0.84300432, 0.82853992, 0.8205374, 0.79800103]","[0.12540897, 0.14179241, 0.16896228, 0.17663669, 0.15620241]","[0.79697141, 0.89094212, 0.82942284, 0.72683575, 0.82392665]",weights,0.8391121441885282,0.7833057189734277,0.1538005520651932,0.8136197542153767,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",151.1099030971527,"[0.75345771, 0.85446812, 0.84176208, 0.87133109, 0.87700236]","[0.65602381, 0.84864944, 0.83686293, 0.82956562, 0.80460707]","[0.12555894, 0.12988801, 0.1682381, 0.1583962, 0.15195126]","[0.76990494, 0.91297059, 0.81564509, 0.76844327, 0.85040894]",weights,0.8396042726172404,0.7951417745582915,0.1468065041640651,0.8234745672348069,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",150.6248025894165,"[0.75592545, 0.84871192, 0.84157413, 0.8707358, 0.87962608]","[0.64425353, 0.84858271, 0.83429504, 0.81940709, 0.8042067]","[0.12321556, 0.14101726, 0.17097467, 0.15867069, 0.15463695]","[0.77275737, 0.87860859, 0.82811991, 0.76360569, 0.8312037]",weights,0.8393146748148311,0.7901490148705363,0.149703026604882,0.8148590508747964,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",184.2736902236938,"[0.74724642, 0.855234, 0.84604057, 0.87337906, 0.87301325]","[0.65157613, 0.85540223, 0.84062415, 0.81959309, 0.80590826]","[0.12591653, 0.13822873, 0.17176724, 0.1658469, 0.15220118]","[0.75543809, 0.91397445, 0.82351349, 0.75344703, 0.85442598]",weights,0.8389826599470857,0.7946207723779011,0.150792115486266,0.8201598085276304,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",184.9894757270813,"[0.74986204, 0.84702346, 0.83590927, 0.87051812, 0.8643434]","[0.63978895, 0.83559761, 0.80476421, 0.82364219, 0.80495024]","[0.12573781, 0.13946539, 0.18129428, 0.16840794, 0.15723244]","[0.75599343, 0.90446545, 0.78263975, 0.74703646, 0.8494444]",weights,0.8335312603888267,0.7817486385618584,0.1544275698498359,0.807915898196029,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",207.5161943435669,"[0.75031895, 0.84355163, 0.84806816, 0.87610006, 0.87607871]","[0.6361361, 0.84333796, 0.83699888, 0.82840668, 0.80802448]","[0.12215492, 0.13762504, 0.17226493, 0.160003, 0.1507717]","[0.77860804, 0.90161538, 0.82720742, 0.76562019, 0.86574633]",weights,0.8388235028324857,0.7905808216724096,0.1485639181023251,0.8277594722390418,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",208.0224299430847,"[0.74552694, 0.84376793, 0.84317718, 0.87584462, 0.87309803]","[0.64235947, 0.83946778, 0.82698408, 0.81955016, 0.80086079]","[0.12137289, 0.1361805, 0.17509669, 0.16246822, 0.15598631]","[0.79138568, 0.90590634, 0.82404754, 0.75344771, 0.84324103]",weights,0.8362829430478037,0.7858444560448925,0.1502209225606881,0.823605660724368,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",184.5518691539764,"[0.74885332, 0.85682314, 0.84469179, 0.8750783, 0.86926286]","[0.64980045, 0.84021513, 0.83284493, 0.82395696, 0.79515557]","[0.12191402, 0.12952735, 0.1740491, 0.16597961, 0.1528159]","[0.80098125, 0.913478, 0.81992802, 0.75541087, 0.84262354]",weights,0.8389418818063129,0.7883946073951714,0.1488571959249476,0.826484337554555,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 10, 'ens_metric_name': 'ibs', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",185.7193865776062,"[0.75468495, 0.85022822, 0.84888405, 0.87550477, 0.86717683]","[0.62353717, 0.8422036, 0.8279055, 0.81721799, 0.80495024]","[0.12453632, 0.14298804, 0.16862865, 0.17573876, 0.15516927]","[0.79339964, 0.87180039, 0.8301434, 0.72572209, 0.83021223]",weights,0.8392957665325176,0.783162900808664,0.1534122085470896,0.8102555504178823,ONK\ONK_full.xlsx
