,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
TruncNormAUPRC,0.6667239080856237,0.664561090378984,0.6688446023284175,0.6725405918348464,0.668472480151184,0.6771864461987204,0.6768179970444771,0.67472748535322,0.6755872998346838,0.6830532501282627,0.7047420973019703,0.7100335540983482,0.6149008069105287,0.6280065380845098,0.6272960850274031,0.621964278410695,0.6274459976693357,0.642549186905084,0.6728071193575071,0.673533243065673,0.675321312309092,0.6765308335829738,0.6797532424219723,0.6778315470301033,0.8781230317841071,0.8817297219786747,0.8789469853547773,0.8803162601566917,0.8773441077921071,0.8807720863032489,0.34287955983706775,0.3443042818608228,0.34354126144974123,0.34457584110234263,0.34556907691446,0.34427270967712326
lognormIBS,0.160246225827597,0.1608237552599858,0.1613575534213551,0.1635523917208092,0.17148340050133457,0.1779682242045287,0.1702976377375063,0.17022907671824758,0.17285521042269153,0.1741903038581231,0.18034911883343832,0.18995687925763502,0.14958843058670263,0.15886759289402202,0.1623799712454624,0.16302593400843585,0.18728524559317608,0.21678492522252404,0.13584930828554637,0.13621482312385993,0.13723539771578402,0.14111461967028965,0.14916103099320846,0.1586461399766243,0.1760936153266443,0.17601863808728033,0.1771514462853045,0.1755021001102088,0.1732785991009179,0.17186402687668154,0.15952586672927654,0.16053697779403647,0.160157612027252,0.1587710945192771,0.1590110662196346,0.15940475133311025
lognormAUPRC,0.6713122716233902,0.6693627445107062,0.6733313079028217,0.6769557369234076,0.672237147573026,0.6796934355738397,0.6797972165856496,0.6785945557418126,0.6799059569600723,0.6869137486372605,0.7071535458005827,0.7009023795086421,0.6125117864996567,0.5949525849743107,0.5796147601048465,0.5798039801774231,0.5647623306970679,0.5751992638713833,0.6778951633802899,0.6785373310032521,0.6802055986790904,0.6814499019039784,0.6842429191725745,0.6822768860744317,0.8780273610341169,0.8818264081437593,0.879177430626665,0.880518522060733,0.8774351990204956,0.8809691043997774,0.294383153397042,0.2949425106077649,0.29483607522984495,0.29595006072902663,0.29599893895532037,0.2958867518745913
gammaIBS,0.15952669546777484,0.1601837936200373,0.16071255989853261,0.16300077964172455,0.17105187892751086,0.17758726041447928,0.17023457498298553,0.17019339105979495,0.17251750046541284,0.17408867942214082,0.18019224924380606,0.187196821209362,0.1489376910965181,0.15336754877421424,0.15436475309002412,0.15489194930221323,0.16835530269379773,0.1862180539179338,0.13565776455017298,0.1362451817107124,0.13739457566484786,0.14116985453479888,0.14912802973980444,0.15841426243865808,0.1768692383580844,0.17638039161903643,0.17807161701292934,0.17571320110810837,0.1734951131432801,0.1720178204854588,0.16296378516994825,0.16632106764368973,0.1654560970975716,0.1633863879768593,0.16434306319155234,0.16474701080633544
gammaAUPRC,0.6686125636560547,0.6661053807978853,0.6707626589178645,0.674644460002933,0.670164643503371,0.6766825199755409,0.6781533701068383,0.6765199750300891,0.6774633676961672,0.6848065782203079,0.7053263698919142,0.7006237007466707,0.5929549770846125,0.6128413695190377,0.6042012127170728,0.6006277586685491,0.6064011057972435,0.6203909767287311,0.6780933667997964,0.678397940991989,0.6800641441581853,0.6815104954947022,0.6837264674920153,0.6817446349558902,0.8725590299440222,0.8763078133550222,0.8737130853604963,0.874959980781707,0.8719049015369013,0.8756756315711045,0.30090321550902105,0.29895291819182707,0.29979023224808243,0.3032047440926713,0.303096789842644,0.30196925526773133
laplaceIBS,0.1611188702261106,0.1614278016204836,0.16052490550305754,0.1632668777021174,0.17202183450453487,0.17985375714671778,0.1666447621877787,0.16671464511392703,0.1701193419701216,0.1720330896414103,0.17895723202975425,0.18925893318696943,0.15118565613568058,0.15553820524464898,0.15745886975442644,0.15685954616759556,0.17142831552031962,0.19043792603205428,0.14053030120570015,0.14083033691010047,0.14172745197772502,0.14507290370817277,0.1522630431589873,0.1612436565999772,0.17482893174345052,0.17487400474274614,0.17565816440016838,0.17342460742914775,0.17151779519759994,0.16991512815162074,0.17484127714133518,0.17580205162414497,0.175365239543592,0.17386818788979358,0.17425885994734713,0.17461087989299118
laplaceAUPRC,0.677581152188106,0.6754285715773799,0.6778087968879728,0.681838829512938,0.6775592493167621,0.6864279628044362,0.6832799054607566,0.6828161052775619,0.684645090087,0.6920223550573734,0.7124186920319137,0.7172100911117605,0.6309262556316998,0.6436200561930167,0.6432980757394303,0.6363688716230115,0.6410585867905421,0.6544865209630224,0.6841069648247654,0.6846834158346843,0.6866380206195808,0.6878571443893027,0.6914661999129734,0.6897315625476206,0.883739287196329,0.8868440354808712,0.8846788885903754,0.8858292343264149,0.8827973695879333,0.8860660084304744,0.34165844717443933,0.3430458454132805,0.3422807056090621,0.3432505573753656,0.34447726082160274,0.34307394099094707
laplace_asymmetricIBS,0.15641569582692855,0.1570371100220367,0.15750193813261884,0.15997759018478389,0.1690449863797647,0.17815067994675804,0.16850830609563844,0.16841169361202032,0.1708289123821281,0.1724723673812525,0.17909868038465293,0.1882545576226849,0.15138868227809196,0.15543335369044106,0.15665534952698826,0.15620215719411196,0.17123099181056806,0.18917931914602787,0.13957901730414418,0.1400388657915176,0.140883315180013,0.1443855758859206,0.15148580432506242,0.16014833284694735,0.17708808659488579,0.1766051492959353,0.17745583773666612,0.17566200510369562,0.17320473882746598,0.17195532610739023,0.1686003381017737,0.1695133665681665,0.16918335085260972,0.16776088517849097,0.16785363665131503,0.16840213808745066
laplace_asymmetricAUPRC,0.6608060318303066,0.6575276273237666,0.6629792764576518,0.6672976853025421,0.6678334612294201,0.6819406108811387,0.6777468673986413,0.6772896064518203,0.6791587629255571,0.6868712427787906,0.7083724855816145,0.7133624645567284,0.6085047884798647,0.6238769284765306,0.6193586506574362,0.6160073798464822,0.63415778565872,0.6497526926878006,0.6865265931477813,0.6875633440093127,0.688158888019576,0.689036065470388,0.6921399800912656,0.6889818495066603,0.8630663295379859,0.8674686091036222,0.8644601055669531,0.8657655433559968,0.8642041275114749,0.8685655001152849,0.3338129536142463,0.3350075217801492,0.334515260926874,0.3354216588739226,0.3360476871284457,0.33505122201478116
rayleighIBS,0.16102671335090885,0.16172037231180925,0.16230859923254587,0.16416361841458943,0.17218586843873118,0.17885356454892518,0.17149193988017944,0.17127741242496372,0.17366856804947187,0.17550544615840818,0.18167491925306983,0.19136426469092757,0.15183624735128914,0.15557428848064778,0.15781650055019036,0.1583232922738234,0.1735426909390474,0.19038908923205317,0.13643509543058235,0.1368714893185225,0.1379243108290306,0.1413821598011881,0.14846947681919143,0.15727346810810602,0.1764973904839096,0.17640916099225912,0.17819734402681886,0.17636209573982303,0.1742387266956534,0.17284055851694796,0.19478802241655074,0.19566473337151066,0.19544954809805443,0.19375152105693358,0.19365484035608754,0.1944296461017711
rayleighAUPRC,0.6705094793225448,0.6689081885113989,0.6727693604320912,0.6758270488424512,0.6709249075395775,0.6771565946238074,0.681159554261153,0.6784763271672827,0.6790331817851194,0.6863956513610815,0.7052648182198412,0.7101795643715947,0.6247716124143876,0.6367461554016591,0.63633976184599,0.631337313202446,0.6347577796822833,0.6464062150479992,0.6676487304693716,0.6681110849663894,0.6699966609632804,0.6712937391444651,0.6738310643179536,0.6725003926928048,0.8837257422846079,0.8871870600778837,0.8844493476221859,0.8859106615217905,0.8830305235338514,0.8861724910956364,0.3574755924592953,0.35899951427007754,0.3582176838160655,0.3589566070447089,0.360041324587087,0.3584866028835333
weibull_minIBS,0.16052331795297278,0.16120088301735574,0.16170165681379148,0.1636063804637971,0.17099601836682066,0.17721886170552487,0.17060755901051464,0.1705415325733142,0.172871181091131,0.1746282313029589,0.18045256385345798,0.18762024989207848,0.14948964494457254,0.15390742708648458,0.155198018933022,0.15547533445419598,0.16916288944039767,0.18485399490899693,0.13486119557944606,0.13547590093510645,0.13657465910308894,0.1403946978916923,0.14836620749178686,0.15764014173341429,0.17679420986859598,0.17730916509887898,0.1779999778494064,0.17598629313654618,0.17388702623930496,0.17224436027870482,0.1629298759245663,0.16227557240484258,0.16383491772730077,0.16315846957308988,0.16278238595667902,0.1615240601858361
weibull_minAUPRC,0.6691507617579632,0.6666630815355589,0.6709235034461116,0.6742882823740652,0.6683183015016665,0.6756509007542139,0.6770002111939466,0.6751100339884707,0.6760812645135055,0.6832946881294041,0.70399458820401,0.7027636621024805,0.6044385968853139,0.6163857314707621,0.6176254470750647,0.6044911181618231,0.6103576528949484,0.6224262357389891,0.6748495013082978,0.6752102172920479,0.6768352895623557,0.6781671308839173,0.6808808376789883,0.6788557972481725,0.8754903750840448,0.8790606858922966,0.8766552199573727,0.8779972112677549,0.8747877191470651,0.878150939393268,0.31501738249168154,0.3149958938503306,0.3195317996267697,0.3208839628766451,0.3194031501720499,0.3143708031646026
genlogisticIBS,0.15913690072013348,0.15986273534018433,0.16019349273316658,0.1623046185784892,0.17016202411492062,0.1794066146490445,0.16967465941315654,0.16954293680200522,0.17189795060496707,0.17333325498476398,0.17938021496574583,0.18875039687649342,0.1495471148954841,0.15372528684364056,0.15520716007351834,0.15589888497024407,0.17024636936995372,0.1873543211890556,0.13805200007155033,0.1383496494746982,0.13937479443476936,0.14270799386389868,0.14954315895534653,0.1579812869857456,0.17604739442666925,0.1758460060560904,0.1768189594921214,0.1756348523050526,0.17328552009623277,0.17168890309157814,0.18095335683751532,0.18194873217325624,0.18170407897473617,0.18013162549507322,0.18020872723472428,0.1808334793277152
genlogisticAUPRC,0.66917120476636,0.6674647002581754,0.6711966857844534,0.6746298795177691,0.6699142641682455,0.680356650043362,0.6790027485564148,0.6768048323141217,0.6775082699891704,0.6851175536282839,0.706184154617422,0.7117450557023564,0.6190574364173766,0.6314066502023128,0.630877668216087,0.6262739786624103,0.6319728254145756,0.6447405521566791,0.675930598283116,0.6771326512234761,0.6784344543381056,0.6795198525529502,0.6831225433479174,0.6810094692640928,0.8802298660201686,0.8840365270160958,0.8812458120806566,0.8829181405192081,0.8798650341518818,0.8830707365993,0.3480403231096776,0.34951111649428196,0.3488784359763926,0.3497087967175758,0.35068120339939546,0.34929259265396995
dataset,GBSG,GBSG,GBSG,GBSG,GBSG,GBSG,PBC,PBC,PBC,PBC,PBC,PBC,WUHAN,WUHAN,WUHAN,WUHAN,WUHAN,WUHAN,rott2,rott2,rott2,rott2,rott2,rott2,smarto,smarto,smarto,smarto,smarto,smarto,support2,support2,support2,support2,support2,support2
subsample,1.0,0.7,0.5,0.3,0.1,0.05,1.0,0.7,0.5,0.3,0.1,0.05,1.0,0.7,0.5,0.3,0.1,0.05,1.0,0.7,0.5,0.3,0.1,0.05,1.0,0.7,0.5,0.3,0.1,0.05,1.0,0.7,0.5,0.3,0.1,0.05
